Existing Core Data ID,Name
85b5c425-cd86-456e-b724-fc2d263bb2de,Employee Benefit Trust
b88fd255-3d3b-4a54-9df4-5c43474a7941,PT Wise Payments Indonesia
d208adc1-fb7c-43d8-8592-c5e42cbe739a,Vaho Forex Private Limited
4a3c68b1-a504-4177-a9ed-f5240fdf95bd,Wise Asia-Pacific Pte. Ltd.
ffad3fb8-4588-4d30-b8d5-55ef7be01a56,Wise Assets Canada Inc.
fdadd8ea-8069-41b0-8445-83aa65d0a810,Wise Assets Europe AS
cc4813ca-0a45-4daf-a323-0f3ae2292064,Wise Assets Nominees Ltd
d89cd7ed-ffc3-4df7-9e67-99f11608b157,Wise Assets UK Ltd
db817ef1-ab51-4951-9080-6dc24b0ad67a,Wise Australia Investments Pty Ltd
0e73ea10-8408-4457-874a-f90426439f56,Wise Australia Pty Ltd
da014043-88fe-4644-ab22-c9ae1484a1c1,Wise Brasil Corretora de Câmbio Ltda.
6a85efe0-23eb-4100-a119-6c6ca81e48f4,Wise Brasil Instituição de Pagamento Ltda.
c0950f16-436b-4dca-ab81-f43afe3aa7d7,Wise Chile SpA
c40b2392-b4fa-4d37-9aca-cd61bdff5b03,Wise China Ltd
f42ea543-1658-44ba-ac4b-4ba3e8cecb2e,Wise Digital Brasil Ltda
f4904d02-313c-4f1a-a06f-6cd00fcfac12,Wise Europe Eesti filiaal (Wise Europe branch)
fc57312a-ed48-4e6d-bc93-b11b8b1bd5b9,Wise Europe SA
eac57a56-5ce2-43e8-9dcc-f062505d9c61,Wise Financial Holdings Ltd
2995107e-86df-4572-b42f-c0d32048e6d1,Wise Financial Services Hong Kong Limited
13322017-5abd-4f26-8c25-6b3109cf5208,Wise Financing PLC
34a772c8-1260-48bc-aaab-91529f6bd3b2,Wise Fintech Network LLC
5aa349e8-91fd-4a27-8878-4d66d4274034,Wise ILS Ltd
cbf77e6e-66f4-48a4-94ea-0c054efd87fe,Wise Investments Holdings Ltd
0d00f3be-c400-4e9a-bdbd-995f9c129577,Wise Malaysia Assets Sdn. Bhd.
3c7bf29c-5705-4b6b-a2ba-eebdad24ef32,Wise National Trust
cd59bc81-9fe6-4f81-80c7-d4889a1bc8f4,Wise NewCo Holdings Limited
d6544e26-a8dc-4db0-b343-6e03dd5a7862,Wise NewCo Limited
9ff42ce2-8cc6-45c5-897e-b56316d2eac3,WISE Nuqud Ltd
90904adf-30f7-4ee5-9b88-d59c4dd9ea7d,"Wise Pagos México, S.A. de C.V."
696ef6f5-6b98-4b49-aa6e-8136bbe77fca,Wise Payments Canada Inc.
c21af37b-08d4-4f2f-8f74-6a298f4dc6a8,Wise Payments Holdings (Thailand) Limited
faf3b090-6f39-42c5-94d0-3fc06c1dfd03,Wise Payments Hong Kong Limited
acf7bb36-8f2a-4474-a912-e5276767fa6f,Wise Payments India Private Limited
cfc2150b-6f8a-4fd6-93f9-c6cfacacaeb0,Wise Payments Japan K.K.
ab345175-d57c-4638-90af-deb089c9852b,Wise Payments Korea Limited
36118ef4-4e0f-4119-beb5-7a2623af4322,Wise Payments Limited
c7716aa6-3d64-40fd-87c0-3369f86c1370,Wise Payments Limited Eesti Filiaal (WPL Branch)
792b72f8-1808-4842-b11c-f686455e0070,Wise Payments Limited Magyarországi Fióktelepe (WPL Branch)
79e8af11-b03a-497b-ab76-e2d96b5b277a,Wise Payments Limited - Netherlands (WPL Branch)
ca7931fd-27bc-4c83-966e-c11edd8628d6,Wise Payments Limited Sucursal en España (WPL Branch)
cb9da96a-2c78-42d7-b7bf-a64323ce5f9f,Wise Payments Ltd. - Hong Kong (WPL Branch)
e846d395-8934-4d21-8edf-2104a2a34788,Wise Payments Malaysia Sdn. Bhd.
1fc928cd-17d8-494d-b9c2-e9d3261fd018,Wise Payments New Zealand Ltd.
86f1b1ec-7f99-41b6-b514-1f5721ea7be8,Wise Payments South Africa (Pty) Ltd
a049a2e1-5f16-471d-b2f1-1d4f2ca29907,Wise Payments (Thailand) Limited
ed235136-d81e-43db-936e-24e242695ffd,Wise Pilipinas Inc.
db369fdd-5633-481b-a898-2dde4aeef4b5,Wise PLC
d187f044-cc2e-48e3-884d-5aff3795d22f,Wise Singapore Assets Pte. Ltd.
826d6d40-fcd4-4417-8702-c5fe3556e333,Wise Switzerland AG
be914260-d9bb-447c-ae3a-f660604852be,Wise US Assets Inc
6d00e12e-43e6-44ba-9d7e-0ffb6fd3df8b,Wise US Holdings Inc
b2e09dcb-d9e3-43fb-a0c2-a6c3ab2e0c86,Wise US Inc
